center,in_degree,out_degree,total_degree,weighted_in_degree,weighted_out_degree,weighted_total_degree,betweenness_centrality,pagerank,source_trips,source_delayed_trips,source_avg_delay_ratio,destination_trips,destination_delayed_trips,destination_avg_delay_ratio,total_trips_handled,total_delayed_trips_handled,hub_delay_rate,weighted_total_degree_scaled,betweenness_centrality_scaled,pagerank_scaled,hub_delay_rate_scaled,total_delayed_trips_handled_scaled,bottleneck_score
IND201301AAF,8,3,11,88,32,120,0.001635360567450414,0.0016177785731355575,32.0,32.0,1.7372685185185184,88.0,87.0,2.253877358516152,120.0,119.0,0.9916666666666667,0.05979899497487438,0.0074257719139428635,0.07819164169831402,0.9916666666666667,0.06168999481596682,0.1904480192842621
IND201301AAM,1,1,2,39,27,66,0.0,0.000718802036205732,27.0,27.0,2.987012987012987,39.0,39.0,2.6202531645569622,66.0,66.0,1.0,0.032663316582914576,0.0,0.03139553288639158,1.0,0.03421461897356143,0.16957712856904117
IND209304AAA,16,13,29,172,220,392,0.04035938944323359,0.0060919144346053755,220.0,181.0,2.185046768033504,172.0,172.0,7.641054351880274,392.0,353.0,0.9005102040816326,0.1964824120603015,0.18326210534639992,0.3110922125271272,0.9005102040816326,0.18299637117677553,0.31968055814586205
IND282002AAD,6,5,11,30,30,60,0.004668943013233845,0.0010382498010256026,30.0,28.0,1.7243180616040124,30.0,30.0,3.106589899547956,60.0,58.0,0.9666666666666667,0.029648241206030154,0.02120052701865266,0.048024345483981094,0.9666666666666667,0.03006739243131156,0.17182717001766365
IND301001AAB,5,3,8,37,18,55,0.00322748369017908,0.0011091773334715963,18.0,18.0,2.219305091044222,37.0,37.0,4.577921518452284,55.0,55.0,1.0,0.0271356783919598,0.014655213178219901,0.05171646912653949,1.0,0.02851218247796786,0.175067844089548
IND301705AAA,2,1,3,7,1,8,0.0012142971817213247,0.00020489147644687925,1.0,1.0,2.7586206896551726,7.0,7.0,3.5132978723404253,8.0,8.0,1.0,0.0035175879396984926,0.005513826177956682,0.004643984335187816,1.0,0.00414722654224987,0.15380873437778883
IND302014AAA,10,8,18,96,96,192,0.04048963994902146,0.002902436249236091,96.0,96.0,2.116230903076953,96.0,96.0,2.203017460821926,192.0,192.0,1.0,0.09597989949748745,0.18385354100096282,0.1450643329502824,1.0,0.09953343701399689,0.2639012422667686
IND302022AAD,1,1,2,20,7,27,0.0,0.00042497248785398976,7.0,7.0,1.9090909090909087,20.0,20.0,1.6913702007749207,27.0,27.0,1.0,0.013065326633165831,0.0,0.016100273275072605,1.0,0.013996889580093312,0.15858591975031996
IND328001AAA,3,3,6,13,14,27,0.0008447803929217299,0.0003520446631059399,14.0,14.0,1.9397811152632893,13.0,8.0,1.4491887155133423,27.0,22.0,0.8148148148148148,0.013065326633165831,0.0038359409172913227,0.01230402467220951,0.8148148148148148,0.011404872991187143,0.13061907499295647
IND382430AAB,17,13,30,257,280,537,0.0316951913933234,0.003908174026979645,280.0,279.0,1.86330313063768,257.0,257.0,2.3498760147180273,537.0,536.0,0.9981378026070763,0.2693467336683417,0.14392010345615777,0.1974178845171375,0.9981378026070763,0.27786417833074134,0.334200583325225
IND390022AAA,5,4,9,28,50,78,0.005340844764281608,0.001033055742031396,50.0,50.0,2.4541529304029304,28.0,28.0,2.9799325208231946,78.0,78.0,1.0,0.03869346733668342,0.024251468353038718,0.04775396940642679,1.0,0.04043545878693624,0.1813523466217563
IND421302AAG,29,29,58,583,821,1404,0.06962523683824724,0.008233360894467663,821.0,821.0,2.2685473321602183,583.0,583.0,2.5961710568893435,1404.0,1404.0,1.0,0.7050251256281408,0.31615115253826315,0.42256493448810567,1.0,0.7278382581648523,0.59898279516395
IND462022AAA,13,9,22,143,123,266,0.029637711808032402,0.004168394086626935,123.0,123.0,2.477239138172905,143.0,143.0,2.391955342146485,266.0,266.0,1.0,0.13316582914572864,0.13457759243928508,0.21096360648657542,1.0,0.13789528252980818,0.2798128690730397
IND474003AAA,8,6,14,43,40,83,0.007779580423905919,0.001490843780608194,40.0,40.0,1.8837148114543307,43.0,43.0,2.8038234590495215,83.0,83.0,1.0,0.041206030150753775,0.035325169851786783,0.07158406728550931,1.0,0.04302747537584241,0.18990373476411335
IND501359AAE,30,27,57,405,329,734,0.09263166084939613,0.011175239717406523,329.0,329.0,2.105106937520492,405.0,401.0,2.200053169328607,734.0,730.0,0.9945504087193461,0.3683417085427136,0.4206176907822399,0.5757040608772115,0.9945504087193461,0.3784344219803007,0.5183283866116277
IND521225AAB,8,8,16,61,71,132,0.01221073958357229,0.0022446009141096437,71.0,71.0,2.6406247923023125,61.0,61.0,2.977698457929547,132.0,132.0,1.0,0.06582914572864322,0.05544597861346613,0.11082079859949912,1.0,0.06842923794712286,0.2127473264974956
IND600056AAB,18,18,36,241,300,541,0.04214619583060069,0.005333364512505486,300.0,300.0,1.9569614044214785,241.0,241.0,4.572838763732644,541.0,541.0,1.0,0.271356783919598,0.19137555564662959,0.2716059932147842,1.0,0.28045619491964746,0.36207271277246084
