source_center,destination_center,trips,median_actual_time,mean_actual_time,median_osrm_time,mean_osrm_time,median_distance,median_osrm_distance,median_delay_ratio,mean_delay_ratio,delay_rate,delayed_trips,corridor
IND249407AAA,IND131028AAB,18,488.0,498.44444444444446,178.0,178.44444444444446,152.84819550582003,194.81115,2.7338679304500664,2.7933696038290785,1.0,18,IND249407AAA -> IND131028AAB
IND249407AAA,IND246149AAA,18,142.5,152.27777777777777,57.0,57.388888888888886,40.93510588213432,74.87025,2.4596491228070176,2.6555004050678326,1.0,18,IND249407AAA -> IND246149AAA
IND249407AAA,IND249201AAA,18,48.0,56.22222222222222,26.0,25.5,19.0823816288866,20.6716,1.8397435897435899,2.164255804412393,1.0,18,IND249407AAA -> IND249201AAA
IND250002AAA,IND131028AAB,5,132.0,164.2,67.0,67.0,54.83918238675175,81.0077,2.0,2.4368532251553208,1.0,5,IND250002AAA -> IND131028AAB
IND250221AAA,IND251201AAA,1,50.0,50.0,16.0,16.0,18.53160974213866,19.9858,3.125,3.125,1.0,1,IND250221AAA -> IND251201AAA
IND250611AAA,IND247776AAA,11,63.0,62.63636363636363,33.0,32.36363636363637,36.31548683050209,39.5746,1.9090909090909087,1.9358840572421614,1.0,11,IND250611AAA -> IND247776AAA
IND251001AAA,IND247554AAA,12,50.0,53.0,24.0,23.916666666666668,24.535194099632747,25.75985,2.128623188405797,2.21070652173913,1.0,12,IND251001AAA -> IND247554AAA
IND251201AAA,IND131028AAB,1,624.0,624.0,99.0,99.0,74.47583373248342,119.8797,6.303030303030303,6.303030303030303,1.0,1,IND251201AAA -> IND131028AAB
IND251201AAA,IND250002AAA,1,78.0,78.0,41.0,41.0,37.04470550085487,39.5339,1.902439024390244,1.902439024390244,1.0,1,IND251201AAA -> IND250002AAA
IND251309AAB,IND131028AAB,10,139.5,137.3,69.5,69.7,56.774127076357345,69.26165,1.9787581699346406,1.9693420626058138,1.0,10,IND251309AAB -> IND131028AAB
IND261001AAA,IND262701AAA,20,111.0,117.65,46.0,46.0,43.95837026332126,50.95265,2.4141843971631207,2.5575896803371365,1.0,20,IND261001AAA -> IND262701AAA
IND261201AAB,IND261001AAA,19,87.0,88.89473684210526,32.0,32.21052631578947,34.992123000209126,37.2152,2.6451612903225805,2.7589159849771057,1.0,19,IND261201AAB -> IND261001AAA
IND262001AAA,IND244901AAB,1,148.0,148.0,81.0,81.0,78.32866646538221,111.7625,1.8271604938271604,1.8271604938271604,1.0,1,IND262001AAA -> IND244901AAB
IND262001AAA,IND262122AAB,6,75.0,69.5,32.0,32.166666666666664,34.442224530943164,42.7471,2.382056451612903,2.163336999022483,1.0,6,IND262001AAA -> IND262122AAB
IND262122AAB,IND244901AAB,4,278.5,310.25,102.5,103.0,112.57518685365892,143.9487,2.730702681918677,3.003346161529076,1.0,4,IND262122AAB -> IND244901AAB
IND262405AAA,IND263153AAB,2,307.0,307.0,41.0,41.0,31.351360970509667,41.5601,7.487804878048781,7.487804878048781,1.0,2,IND262405AAA -> IND263153AAB
IND262501AAA,IND263153AAB,8,429.0,432.375,214.0,214.25,102.04189593120266,233.07465000000002,2.004629326345671,2.018091001868229,1.0,8,IND262501AAA -> IND263153AAB
IND262701AAA,IND262802AAA,20,51.0,54.15,24.0,23.4,32.22168770463463,32.92,2.1875,2.3144598155467717,1.0,20,IND262701AAA -> IND262802AAA
IND262802AAA,IND262723AAB,21,175.0,180.0952380952381,69.0,68.76190476190476,62.030143471200894,92.4517,2.536231884057971,2.6187889648613067,1.0,21,IND262802AAA -> IND262723AAB
IND263002AAA,IND263645AAA,13,102.0,104.76923076923077,84.0,84.84615384615384,27.65991282942649,55.6147,1.1666666666666667,1.231951658119526,0.46153846153846156,6,IND263002AAA -> IND263645AAA
IND263139AAA,IND263153AAB,6,56.5,75.33333333333333,41.5,41.166666666666664,28.151488281005584,35.6109,1.3617886178861789,1.8219850948509484,0.6666666666666666,4,IND263139AAA -> IND263153AAB
IND263153AAB,IND131028AAB,17,460.0,459.4117647058824,227.0,227.35294117647058,223.5510583697663,273.4533,2.017543859649123,2.0205832813466933,1.0,17,IND263153AAB -> IND131028AAB
IND263153AAB,IND244713AAA,1,198.0,198.0,53.0,53.0,50.42764263706746,55.5122,3.7358490566037736,3.7358490566037736,1.0,1,IND263153AAB -> IND244713AAA
IND263153AAB,IND244715AAA,16,158.5,165.6875,93.0,92.6875,55.06614730810291,80.26915,1.704209065679926,1.7886090574736655,1.0,16,IND263153AAB -> IND244715AAA
IND263153AAB,IND263002AAA,13,137.0,165.84615384615384,99.0,98.46153846153847,46.51781419745682,95.3879,1.431578947368421,1.6840982739313344,1.0,13,IND263153AAB -> IND263002AAA
IND263153AAB,IND263139AAA,7,95.0,97.0,41.0,41.142857142857146,28.2855378476678,35.443400000000004,2.261904761904762,2.357976605276257,1.0,7,IND263153AAB -> IND263139AAA
IND263153AAB,IND263401AAA,1,99.0,99.0,39.0,39.0,32.769277799547794,40.8,2.5384615384615383,2.5384615384615383,1.0,1,IND263153AAB -> IND263401AAA
IND263153AAB,IND263645AAA,1,189.0,189.0,159.0,159.0,73.40757175422436,111.4422,1.1886792452830188,1.1886792452830188,0.0,0,IND263153AAB -> IND263645AAA
IND263401AAA,IND244713AAA,1,53.0,53.0,22.0,22.0,19.24518229605243,24.3682,2.409090909090909,2.409090909090909,1.0,1,IND263401AAA -> IND244713AAA
IND263401AAA,IND263153AAB,15,71.0,88.66666666666667,38.0,38.46666666666667,32.736129597170795,39.9042,1.868421052631579,2.3057759784075578,1.0,15,IND263401AAA -> IND263153AAB
